instrument_origin,instrument_prifix,postfix,instrument_full,instrument_code,postfix1,instrument_simple
"  'trxusdt.HBI',",trxusdt,.HUOBI,trxusdt.HUOBI,29,.HBI,29.HBI
"  'ontusdt.HBI',",ontusdt,.HUOBI,ontusdt.HUOBI,30,.HBI,30.HBI
"  'btsusdt.HBI',",btsusdt,.HUOBI,btsusdt.HUOBI,31,.HBI,31.HBI
"  'adausdt.HBI',",adausdt,.HUOBI,adausdt.HUOBI,32,.HBI,32.HBI
"  'btmusdt.HBI',",btmusdt,.HUOBI,btmusdt.HUOBI,33,.HBI,33.HBI
"  'actusdt.HBI',",actusdt,.HUOBI,actusdt.HUOBI,34,.HBI,34.HBI
"  'ctxcusdt.HBI',",ctxcusdt,.HUOBI,ctxcusdt.HUOBI,35,.HBI,35.HBI
"  'steemusdt.HBI',",steemusdt,.HUOBI,steemusdt.HUOBI,36,.HBI,36.HBI
"  'iotausdt.HBI',",iotausdt,.HUOBI,iotausdt.HUOBI,37,.HBI,37.HBI
"  'socusdt.HBI',",socusdt,.HUOBI,socusdt.HUOBI,38,.HBI,38.HBI
"  'wiccusdt.HBI',",wiccusdt,.HUOBI,wiccusdt.HUOBI,39,.HBI,39.HBI
"  'ocnusdt.HBI',",ocnusdt,.HUOBI,ocnusdt.HUOBI,40,.HBI,40.HBI
"  'bixusdt.HBI',",bixusdt,.HUOBI,bixusdt.HUOBI,41,.HBI,41.HBI
"  'paiusdt.HBI',",paiusdt,.HUOBI,paiusdt.HUOBI,42,.HBI,42.HBI
"  'vetusdt.HBI',",vetusdt,.HUOBI,vetusdt.HUOBI,43,.HBI,43.HBI
"  'xlmusdt.HBI',",xlmusdt,.HUOBI,xlmusdt.HUOBI,44,.HBI,44.HBI
"  'hptusdt.HBI',",hptusdt,.HUOBI,hptusdt.HUOBI,45,.HBI,45.HBI
"  'hitusdt.HBI',",hitusdt,.HUOBI,hitusdt.HUOBI,46,.HBI,46.HBI
"  'xmrusdt.HBI',",xmrusdt,.HUOBI,xmrusdt.HUOBI,47,.HBI,47.HBI
"  'gxcusdt.HBI',",gxcusdt,.HUOBI,gxcusdt.HUOBI,48,.HBI,48.HBI
"  'bsvusdt.HBI',",bsvusdt,.HUOBI,bsvusdt.HUOBI,49,.HBI,49.HBI
"  'nanousdt.HBI',",nanousdt,.HUOBI,nanousdt.HUOBI,50,.HBI,50.HBI
"  'wavesusdt.HBI',",wavesusdt,.HUOBI,wavesusdt.HUOBI,51,.HBI,51.HBI
"  'linkusdt.HBI',",linkusdt,.HUOBI,linkusdt.HUOBI,52,.HBI,52.HBI
"  'zrxusdt.HBI',",zrxusdt,.HUOBI,zrxusdt.HUOBI,53,.HBI,53.HBI
"  'dcrusdt.HBI',",dcrusdt,.HUOBI,dcrusdt.HUOBI,54,.HBI,54.HBI
"  'aeusdt.HBI',",aeusdt,.HUOBI,aeusdt.HUOBI,55,.HBI,55.HBI
"  'bttusdt.HBI',",bttusdt,.HUOBI,bttusdt.HUOBI,56,.HBI,56.HBI
"  'topusdt.HBI',",topusdt,.HUOBI,topusdt.HUOBI,57,.HBI,57.HBI
"  'dogeusdt.HBI',",dogeusdt,.HUOBI,dogeusdt.HUOBI,58,.HBI,58.HBI
"  'lbausdt.HBI',",lbausdt,.HUOBI,lbausdt.HUOBI,59,.HBI,59.HBI
"  'kanusdt.HBI',",kanusdt,.HUOBI,kanusdt.HUOBI,60,.HBI,60.HBI
"  'newusdt.HBI',",newusdt,.HUOBI,newusdt.HUOBI,61,.HBI,61.HBI
"  'irisusdt.HBI',",irisusdt,.HUOBI,irisusdt.HUOBI,62,.HBI,62.HBI
"  'atomusdt.HBI',",atomusdt,.HUOBI,atomusdt.HUOBI,63,.HBI,63.HBI
"  'nulsusdt.HBI',",nulsusdt,.HUOBI,nulsusdt.HUOBI,64,.HBI,64.HBI
"  'ttusdt.HBI',",ttusdt,.HUOBI,ttusdt.HUOBI,65,.HBI,65.HBI
"  'rsrusdt.HBI',",rsrusdt,.HUOBI,rsrusdt.HUOBI,66,.HBI,66.HBI
"  'wtcusdt.HBI',",wtcusdt,.HUOBI,wtcusdt.HUOBI,67,.HBI,67.HBI
"  'nknusdt.HBI',",nknusdt,.HUOBI,nknusdt.HUOBI,68,.HBI,68.HBI
"  'atpusdt.HBI',",atpusdt,.HUOBI,atpusdt.HUOBI,69,.HBI,69.HBI
"  'algousdt.HBI',",algousdt,.HUOBI,algousdt.HUOBI,70,.HBI,70.HBI
"  'skmusdt.HBI',",skmusdt,.HUOBI,skmusdt.HUOBI,71,.HBI,71.HBI
"  'ogousdt.HBI',",ogousdt,.HUOBI,ogousdt.HUOBI,72,.HBI,72.HBI
"  'egtusdt.HBI',",egtusdt,.HUOBI,egtusdt.HUOBI,73,.HBI,73.HBI
"  'crousdt.HBI',",crousdt,.HUOBI,crousdt.HUOBI,74,.HBI,74.HBI
"  'akrousdt.HBI',",akrousdt,.HUOBI,akrousdt.HUOBI,75,.HBI,75.HBI
"  'pvtusdt.HBI',",pvtusdt,.HUOBI,pvtusdt.HUOBI,76,.HBI,76.HBI
"  'cnnsusdt.HBI',",cnnsusdt,.HUOBI,cnnsusdt.HUOBI,77,.HBI,77.HBI
"  'hbcusdt.HBI',",hbcusdt,.HUOBI,hbcusdt.HUOBI,78,.HBI,78.HBI
"  'uipusdt.HBI',",uipusdt,.HUOBI,uipusdt.HUOBI,79,.HBI,79.HBI
"  'vsysusdt.HBI',",vsysusdt,.HUOBI,vsysusdt.HUOBI,80,.HBI,80.HBI
"  'fsnusdt.HBI',",fsnusdt,.HUOBI,fsnusdt.HUOBI,81,.HBI,81.HBI
"  'uuuusdt.HBI',",uuuusdt,.HUOBI,uuuusdt.HUOBI,82,.HBI,82.HBI
"  'fttusdt.HBI',",fttusdt,.HUOBI,fttusdt.HUOBI,83,.HBI,83.HBI
"  'xtzusdt.HBI',",xtzusdt,.HUOBI,xtzusdt.HUOBI,84,.HBI,84.HBI
"  'batusdt.HBI',",batusdt,.HUOBI,batusdt.HUOBI,85,.HBI,85.HBI
"  'manausdt.HBI',",manausdt,.HUOBI,manausdt.HUOBI,86,.HBI,86.HBI
"  'firousdt.HBI',",firousdt,.HUOBI,firousdt.HUOBI,87,.HBI,87.HBI
"  'creusdt.HBI',",creusdt,.HUOBI,creusdt.HUOBI,88,.HBI,88.HBI
"  'ektusdt.HBI',",ektusdt,.HUOBI,ektusdt.HUOBI,89,.HBI,89.HBI
"  'lolusdt.HBI',",lolusdt,.HUOBI,lolusdt.HUOBI,90,.HBI,90.HBI
"  'lxtusdt.HBI',",lxtusdt,.HUOBI,lxtusdt.HUOBI,91,.HBI,91.HBI
"  'wxtusdt.HBI',",wxtusdt,.HUOBI,wxtusdt.HUOBI,92,.HBI,92.HBI
"  'arpausdt.HBI',",arpausdt,.HUOBI,arpausdt.HUOBI,93,.HBI,93.HBI
"  'forusdt.HBI',",forusdt,.HUOBI,forusdt.HUOBI,94,.HBI,94.HBI
"  'vidyusdt.HBI',",vidyusdt,.HUOBI,vidyusdt.HUOBI,95,.HBI,95.HBI
"  'oneusdt.HBI',",oneusdt,.HUOBI,oneusdt.HUOBI,96,.HBI,96.HBI
"  'dockusdt.HBI',",dockusdt,.HUOBI,dockusdt.HUOBI,97,.HBI,97.HBI
"  'seeleusdt.HBI',",seeleusdt,.HUOBI,seeleusdt.HUOBI,98,.HBI,98.HBI
"  'renusdt.HBI',",renusdt,.HUOBI,renusdt.HUOBI,99,.HBI,99.HBI
"  'emusdt.HBI',",emusdt,.HUOBI,emusdt.HUOBI,100,.HBI,100.HBI
"  'mxusdt.HBI',",mxusdt,.HUOBI,mxusdt.HUOBI,101,.HBI,101.HBI
"  'ckbusdt.HBI',",ckbusdt,.HUOBI,ckbusdt.HUOBI,102,.HBI,102.HBI
"  'hiveusdt.HBI',",hiveusdt,.HUOBI,hiveusdt.HUOBI,103,.HBI,103.HBI
"  'ognusdt.HBI',",ognusdt,.HUOBI,ognusdt.HUOBI,104,.HBI,104.HBI
"  'aacusdt.HBI',",aacusdt,.HUOBI,aacusdt.HUOBI,105,.HBI,105.HBI
"  'dacusdt.HBI',",dacusdt,.HUOBI,dacusdt.HUOBI,106,.HBI,106.HBI
"  'kcashusdt.HBI',",kcashusdt,.HUOBI,kcashusdt.HUOBI,107,.HBI,107.HBI
"  'yeeusdt.HBI',",yeeusdt,.HUOBI,yeeusdt.HUOBI,108,.HBI,108.HBI
"  'tnbusdt.HBI',",tnbusdt,.HUOBI,tnbusdt.HUOBI,109,.HBI,109.HBI
"  'rvnusdt.HBI',",rvnusdt,.HUOBI,rvnusdt.HUOBI,110,.HBI,110.HBI
"  'waxpusdt.HBI',",waxpusdt,.HUOBI,waxpusdt.HUOBI,111,.HBI,111.HBI
"  'ksmusdt.HBI',",ksmusdt,.HUOBI,ksmusdt.HUOBI,112,.HBI,112.HBI
"  'lunausdt.HBI',",lunausdt,.HUOBI,lunausdt.HUOBI,113,.HBI,113.HBI
"  'chrusdt.HBI',",chrusdt,.HUOBI,chrusdt.HUOBI,114,.HBI,114.HBI
"  'nestusdt.HBI',",nestusdt,.HUOBI,nestusdt.HUOBI,115,.HBI,115.HBI
"  'balusdt.HBI',",balusdt,.HUOBI,balusdt.HUOBI,116,.HBI,116.HBI
"  'bandusdt.HBI',",bandusdt,.HUOBI,bandusdt.HUOBI,117,.HBI,117.HBI
"  'jstusdt.HBI',",jstusdt,.HUOBI,jstusdt.HUOBI,118,.HBI,118.HBI
"  'antusdt.HBI',",antusdt,.HUOBI,antusdt.HUOBI,119,.HBI,119.HBI
"  'mkrusdt.HBI',",mkrusdt,.HUOBI,mkrusdt.HUOBI,120,.HBI,120.HBI
"  'trbusdt.HBI',",trbusdt,.HUOBI,trbusdt.HUOBI,121,.HBI,121.HBI
"  'astusdt.HBI',",astusdt,.HUOBI,astusdt.HUOBI,122,.HBI,122.HBI
